"Order_ID","Order_Date","Customer_ID","Customer_Name","Product","Category","Quantity","Price","Sales","Profit","City","State","Region","Year","Month","Quarter","Month_Name","Profit_Margin","Is_Outlier"
"EC-1001",2025-07-14,"CUST-141","Henry Carter","Cotton Slim Fit T-Shirt","Clothing",1,2000,2000,620.72,"Boston","Massachusetts","East",2025,7,"Q3","Jul",0.3104,FALSE
"EC-1002",2024-11-16,"CUST-117","Daniel Lee","LED Desk Lamp","Furniture",3,4000,12000,-1142.61,"Philadelphia","Pennsylvania","East",2024,11,"Q4","Nov",-0.0952,FALSE
"EC-1003",2024-06-01,"CUST-102","Jane Smith","Gel Pen Set (12-pack)","Office Supplies",4,900,3600,1967.39,"Dallas","Texas","Central",2024,6,"Q2","Jun",0.5465,FALSE
"EC-1004",2024-03-14,"CUST-115","Ethan Jackson","Dell XPS 15","Electronics",1,124000,124000,33887.66,"Los Angeles","California","West",2024,3,"Q1","Mar",0.2733,FALSE
"EC-1005",2024-08-15,"CUST-123","David Rodriguez","iPhone 15 Pro","Electronics",5,82900,414500,80135.81,"Miami","Florida","South",2024,8,"Q3","Aug",0.1933,TRUE
"EC-1006",2024-05-25,"CUST-127","Jackson Hall","Gel Pen Set (12-pack)","Office Supplies",2,900,1800,1079.07,"Los Angeles","California","West",2024,5,"Q2","May",0.5995,FALSE
"EC-1007",2025-09-25,"CUST-140","Camila Nelson","Solid Oak Dining Table","Furniture",2,66000,132000,-14383.73,"Atlanta","Georgia","South",2025,9,"Q3","Sep",-0.109,FALSE
"EC-1008",2024-02-18,"CUST-103","Michael Johnson","Premium Notebook Pack","Office Supplies",1,1200,1200,663.69,"New York","New York","East",2024,2,"Q1","Feb",0.5531,FALSE
"EC-1009",2024-05-07,"CUST-134","Grace Hill","Heavy Duty Stapler","Office Supplies",5,1800,9000,4476.56,"Houston","Texas","Central",2024,5,"Q2","May",0.4974,FALSE
"EC-1010",2024-10-29,"CUST-149","Julian Evans","Sony WH-1000XM5","Electronics",1,33000,33000,6050.56,"New York","New York","East",2024,10,"Q4","Oct",0.1834,FALSE
"EC-1011",2024-01-24,"CUST-103","Michael Johnson","Sony WH-1000XM5","Electronics",3,33000,99000,33831.39,"Atlanta","Georgia","South",2024,1,"Q1","Jan",0.3417,FALSE
"EC-1012",2026-04-18,"CUST-143","Wyatt Perez","Premium Notebook Pack","Office Supplies",2,1200,2400,1187.05,"Nashville","Tennessee","South",2026,4,"Q2","Apr",0.4946,FALSE
"EC-1013",2024-12-21,"CUST-137","Gabriel Adams","Premium Notebook Pack","Office Supplies",1,1200,1200,773.12,"Chicago","Illinois","Central",2024,12,"Q4","Dec",0.6443,FALSE
"EC-1014",2025-08-23,"CUST-122","Abigail Clark","iPhone 15 Pro","Electronics",2,82900,165800,38429.57,"Los Angeles","California","West",2025,8,"Q3","Aug",0.2318,TRUE
"EC-1015",2024-06-13,"CUST-133","Luke Lopez","Cotton Slim Fit T-Shirt","Clothing",1,2000,2000,586,"Philadelphia","Pennsylvania","East",2024,6,"Q2","Jun",0.293,FALSE
"EC-1016",2025-09-13,"CUST-103","Michael Johnson","Solid Oak Dining Table","Furniture",2,66000,132000,15632.37,"Atlanta","Georgia","South",2025,9,"Q3","Sep",0.1184,FALSE
